2022-04-02 10:57:21,456 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,458 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,460 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,462 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,463 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,465 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,467 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,469 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,471 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,472 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,474 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,476 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,478 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,479 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,481 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,483 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,484 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,486 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,488 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,489 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,491 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,492 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,494 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,496 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,498 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,499 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,501 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,503 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,504 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,506 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,508 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,510 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,511 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
